Waiting for operation to complete...
Transcript: scena siódma Tartuffe elmira orgon Tartuffe niewidzącego na wszystko jak najszczęśliwszy chęcią naszym sprzyja nie przeszkodzi nam tutaj obecność niczyja całe mieszkanie puste inmoment radosny kiedy Tartuffe zbliża się z otwartymi ramionami do Elwiry chcąc ją uściskać to usuwa się na bok i odsłania orgona orgon wstrzymując Tartuffe powoli coś tak nagle W tej chatce miłosnej spiesząc zbytnio w osobie Możesz łatwo zbłądzić a ty mój sługo Boży chciałeś mnie urządzić tak mało na pokusy jesteś uzbrojony i Żenisz się z córką a Pożądasz żony długo wątpił o prawdzie ohydy takowej czekałem rychło zmieni się tą tej rozmowy lecznictwa nazbyt
Confidence: 0.8749011158943176
Word: scena, start_time: 0.0, end_time: 1.0
Word: siódma, start_time: 1.0, end_time: 1.2
Word: Tartuffe, start_time: 1.2, end_time: 2.5
Word: elmira, start_time: 2.5, end_time: 3.4
Word: orgon, start_time: 3.4, end_time: 4.3
Word: Tartuffe, start_time: 4.3, end_time: 5.5
Word: niewidzącego, start_time: 5.5, end_time: 6.8
Word: na, start_time: 6.8, end_time: 7.1
Word: wszystko, start_time: 7.1, end_time: 8.6
Word: jak, start_time: 8.6, end_time: 8.8
Word: najszczęśliwszy, start_time: 8.8, end_time: 9.4
Word: chęcią, start_time: 9.4, end_time: 10.4
Word: naszym, start_time: 10.4, end_time: 10.8
Word: sprzyja, start_time: 10.8, end_time: 11.2
Word: nie, start_time: 11.2, end_time: 12.0
Word: przeszkodzi, start_time: 12.0, end_time: 12.5
Word: nam, start_time: 12.5, end_time: 12.6
Word: tutaj, start_time: 12.6, end_time: 12.9
Word: obecność, start_time: 12.9, end_time: 13.7
Word: niczyja, start_time: 13.7, end_time: 14.5
Word: całe, start_time: 14.5, end_time: 15.3
Word: mieszkanie, start_time: 15.3, end_time: 15.5
Word: puste, start_time: 15.5, end_time: 16.1
Word: inmoment, start_time: 16.1, end_time: 17.2
Word: radosny, start_time: 17.2, end_time: 17.9
Word: kiedy, start_time: 17.9, end_time: 18.8
Word: Tartuffe, start_time: 18.8, end_time: 19.3
Word: zbliża, start_time: 19.3, end_time: 20.0
Word: się, start_time: 20.0, end_time: 20.2
Word: z, start_time: 20.2, end_time: 20.3
Word: otwartymi, start_time: 20.3, end_time: 20.9
Word: ramionami, start_time: 20.9, end_time: 21.1
Word: do, start_time: 21.1, end_time: 21.7
Word: Elwiry, start_time: 21.7, end_time: 22.1
Word: chcąc, start_time: 22.1, end_time: 22.9
Word: ją, start_time: 22.9, end_time: 23.0
Word: uściskać, start_time: 23.0, end_time: 23.8
Word: to, start_time: 23.8, end_time: 24.4
Word: usuwa, start_time: 24.4, end_time: 25.0
Word: się, start_time: 25.0, end_time: 25.2
Word: na, start_time: 25.2, end_time: 25.4
Word: bok, start_time: 25.4, end_time: 25.7
Word: i, start_time: 25.7, end_time: 25.8
Word: odsłania, start_time: 25.8, end_time: 26.8
Word: orgona, start_time: 26.8, end_time: 27.4
Word: orgon, start_time: 27.4, end_time: 28.6
Word: wstrzymując, start_time: 28.6, end_time: 29.7
Word: Tartuffe, start_time: 29.7, end_time: 30.2
Word: powoli, start_time: 30.2, end_time: 31.8
Word: coś, start_time: 31.8, end_time: 32.8
Word: tak, start_time: 32.8, end_time: 33.0
Word: nagle, start_time: 33.0, end_time: 33.4
Word: W, start_time: 33.4, end_time: 33.6
Word: tej, start_time: 33.6, end_time: 33.7
Word: chatce, start_time: 33.7, end_time: 34.3
Word: miłosnej, start_time: 34.3, end_time: 35.1
Word: spiesząc, start_time: 35.1, end_time: 36.5
Word: zbytnio, start_time: 36.5, end_time: 37.0
Word: w, start_time: 37.0, end_time: 37.1
Word: osobie, start_time: 37.1, end_time: 37.8
Word: Możesz, start_time: 37.8, end_time: 38.3
Word: łatwo, start_time: 38.3, end_time: 38.5
Word: zbłądzić, start_time: 38.5, end_time: 39.3
Word: a, start_time: 39.3, end_time: 39.5
Word: ty, start_time: 39.5, end_time: 40.6
Word: mój, start_time: 40.6, end_time: 41.0
Word: sługo, start_time: 41.0, end_time: 41.4
Word: Boży, start_time: 41.4, end_time: 41.5
Word: chciałeś, start_time: 41.5, end_time: 42.9
Word: mnie, start_time: 42.9, end_time: 43.1
Word: urządzić, start_time: 43.1, end_time: 43.9
Word: tak, start_time: 43.9, end_time: 44.7
Word: mało, start_time: 44.7, end_time: 45.1
Word: na, start_time: 45.1, end_time: 45.3
Word: pokusy, start_time: 45.3, end_time: 45.8
Word: jesteś, start_time: 45.8, end_time: 46.2
Word: uzbrojony, start_time: 46.2, end_time: 47.0
Word: i, start_time: 47.0, end_time: 47.1
Word: Żenisz, start_time: 47.1, end_time: 48.0
Word: się, start_time: 48.0, end_time: 48.1
Word: z, start_time: 48.1, end_time: 48.2
Word: córką, start_time: 48.2, end_time: 48.8
Word: a, start_time: 48.8, end_time: 49.1
Word: Pożądasz, start_time: 49.1, end_time: 49.9
Word: żony, start_time: 49.9, end_time: 50.4
Word: długo, start_time: 50.4, end_time: 51.3
Word: wątpił, start_time: 51.3, end_time: 52.1
Word: o, start_time: 52.1, end_time: 52.2
Word: prawdzie, start_time: 52.2, end_time: 52.9
Word: ohydy, start_time: 52.9, end_time: 53.6
Word: takowej, start_time: 53.6, end_time: 54.1
Word: czekałem, start_time: 54.1, end_time: 55.2
Word: rychło, start_time: 55.2, end_time: 56.2
Word: zmieni, start_time: 56.2, end_time: 56.8
Word: się, start_time: 56.8, end_time: 57.0
Word: tą, start_time: 57.0, end_time: 57.2
Word: tej, start_time: 57.2, end_time: 57.6
Word: rozmowy, start_time: 57.6, end_time: 58.2
Word: lecznictwa, start_time: 58.2, end_time: 59.4
Word: nazbyt, start_time: 59.4, end_time: 59.8
Transcript: dawne świadectwo mi daje nie żądam już dowodów na tym poprzestaje elmira do targi IFA wierz mi nie jadę drogę sprzeczne ósmym honorem obrałam śledzie zmuszono mnie ślepym uporem Tartuffe do ogona jak to ty wierzysz bracie orgon dalej bez hałasu Zgierz manatki i z domu mi zmykaj zawczasu Tartuffe mój zamiar orgon to jest wszystko daremne gadanie masz mi to najśmieszniej opuścić mieszkanie Tartuffe nie opuścisz raczej ty co z niesłychanym zuchwalstwo gadasz do mnie jakbyś to był panem dom jest moją własnością i szukasz daremnie tych nikczemnych wybiegów aby zadrwić ze mnie oszczerstwa broni nie przyda ci się ze mną w walce bo mam Sposoby aby poskromić zuchwalca pomścić zniewagę niebios
Confidence: 0.8313521146774292
Word: dawne, start_time: 59.9, end_time: 60.5
Word: świadectwo, start_time: 60.5, end_time: 61.0
Word: mi, start_time: 61.0, end_time: 61.4
Word: daje, start_time: 61.4, end_time: 61.8
Word: nie, start_time: 61.8, end_time: 62.5
Word: żądam, start_time: 62.5, end_time: 62.9
Word: już, start_time: 62.9, end_time: 63.0
Word: dowodów, start_time: 63.0, end_time: 63.5
Word: na, start_time: 63.5, end_time: 64.2
Word: tym, start_time: 64.2, end_time: 64.4
Word: poprzestaje, start_time: 64.4, end_time: 65.3
Word: elmira, start_time: 65.3, end_time: 66.3
Word: do, start_time: 66.3, end_time: 66.9
Word: targi, start_time: 66.9, end_time: 67.3
Word: IFA, start_time: 67.3, end_time: 67.5
Word: wierz, start_time: 67.5, end_time: 68.4
Word: mi, start_time: 68.4, end_time: 68.6
Word: nie, start_time: 68.6, end_time: 68.7
Word: jadę, start_time: 68.7, end_time: 69.4
Word: drogę, start_time: 69.4, end_time: 69.7
Word: sprzeczne, start_time: 69.7, end_time: 70.3
Word: ósmym, start_time: 70.3, end_time: 70.7
Word: honorem, start_time: 70.7, end_time: 71.2
Word: obrałam, start_time: 71.2, end_time: 71.7
Word: śledzie, start_time: 71.7, end_time: 72.3
Word: zmuszono, start_time: 72.3, end_time: 72.7
Word: mnie, start_time: 72.7, end_time: 72.8
Word: ślepym, start_time: 72.8, end_time: 73.3
Word: uporem, start_time: 73.3, end_time: 73.7
Word: Tartuffe, start_time: 73.7, end_time: 74.9
Word: do, start_time: 74.9, end_time: 75.4
Word: ogona, start_time: 75.4, end_time: 75.8
Word: jak, start_time: 75.8, end_time: 76.8
Word: to, start_time: 76.8, end_time: 77.0
Word: ty, start_time: 77.0, end_time: 77.8
Word: wierzysz, start_time: 77.8, end_time: 78.3
Word: bracie, start_time: 78.3, end_time: 78.9
Word: orgon, start_time: 78.9, end_time: 79.9
Word: dalej, start_time: 79.9, end_time: 80.7
Word: bez, start_time: 80.7, end_time: 81.2
